id,clvcuenca,cuenca,clvrha,clvrh,fechadof,fechacorte,subregion,cp,ar,uc,r,im,ex,ev,av,ab,rxy,d,idcatclasificacion,clasificacion,anio
489,"0515","Paralelo 28","I","RH005","2020-09-21","2020-02-04Z","",11.701,0,0.009,0,0,0,0,0,11.692,1.17,10.522,2,"Con disponibilidad",2020
497,"0601","San Lucas","I","RH006","2020-09-21","2020-02-04Z","",5.262,0,0.033,0,0,0,0,0,5.229,0.526,4.702,2,"Con disponibilidad",2020
502,"0602","San José del Cabo","I","RH006","2020-09-21","2020-02-04Z","",42.428,0,4.022,0,0,0,0,0,38.406,4.243,34.163,2,"Con disponibilidad",2020
509,"0603","Cabo Pulmo","I","RH006","2020-09-21","2020-02-04Z","",9.492,0,0.015,0,0,0,0,0,9.477,0.949,8.527,2,"Con disponibilidad",2020
514,"0604","Santiago","I","RH006","2020-09-21","2020-02-04Z","",23.367,0,1.91,0,0,0,0,0,21.457,2.337,19.121,2,"Con disponibilidad",2020
520,"0605","San Bartolo","I","RH006","2020-09-21","2020-02-04Z","",11.52,0,0.744,0,0,0,0,0,10.776,1.152,9.624,2,"Con disponibilidad",2020
527,"0606","Los Planes","I","RH006","2020-09-21","2020-02-04Z","",17.118,0,0.328,0,0,0,0,0,16.79,1.712,15.079,2,"Con disponibilidad",2020
536,"0607","La Paz","I","RH006","2020-09-21","2020-02-04Z","",24.534,0,6.787,0,0,0,0,0,17.747,2.453,15.294,2,"Con disponibilidad",2020
541,"0608","El Coyote","I","RH006","2020-09-21","2020-02-04Z","",3.875,0,0.667,0,0,0,0,0,3.208,0.388,2.82,2,"Con disponibilidad",2020
553,"0609","Alfredo B. Bonfil","I","RH006","2020-09-21","2020-02-04Z","",16.995,0,0.07,0,0,0,0,0,16.925,1.7,15.226,2,"Con disponibilidad",2020
557,"0610","Tepentú","I","RH006","2020-09-21","2020-02-04Z","",8.1,0,0.033,0,0,0,0,0,8.067,0.81,7.257,2,"Con disponibilidad",2020
566,"0611","Loreto","I","RH006","2020-09-21","2020-02-04Z","",9.501,0,0.145,0,0,0,0,0,9.356,0.95,8.406,2,"Con disponibilidad",2020
568,"0612","San Juan B. Londó","I","RH006","2020-09-21","2020-02-04Z","",8.837,0,0.026,0,0,0,0,0,8.811,0.884,7.927,2,"Con disponibilidad",2020
578,"0613","Rosarito","I","RH006","2020-09-21","2020-02-04Z","",5.506,0,0.003,0,0,0,0,0,5.503,0.551,4.952,2,"Con disponibilidad",2020
583,"0614","Bahía Concepción","I","RH006","2020-09-21","2020-02-04Z","",11.512,0,0.077,0,0,0,0,0,11.435,1.151,10.283,2,"Con disponibilidad",2020
589,"0701","Río Colorado","I","RH007","2020-09-21","2020-02-04Z","",19.985,1850.234,1729.061,349.472,0,490.304,0,0,0.325,0,0.325,2,"Con disponibilidad",2020
597,"0702","Río Santa Cruz","II","RH007","2020-09-21","2020-02-04Z","",18.958,0,0.049,0,0,0,0,0,18.909,1.896,17.013,2,"Con disponibilidad",2020
606,"0703","Río San Pedro","II","RH007","2020-09-21","2020-02-04Z","",35.944,0,1.428,0,0,0,0,0,34.516,3.594,30.921,2,"Con disponibilidad",2020
612,"0704","Arroyo Los Nogales","II","RH007","2020-09-21","2020-02-04Z","",2.487,0,0,0,0,0,0,0,2.487,0.249,2.238,2,"Con disponibilidad",2020
620,"0801","Río Sonoyta 1","II","RH008","2020-09-21","2020-02-04Z","",12.953,0,0.372,0,0,0,0,0,12.582,12.582,0,1,"Sin disponibilidad",2020
629,"0802","Río Sonoyta 2","II","RH008","2020-09-21","2020-02-04Z","",16.55,12.582,0.188,0,0,28.943,0,0,0,0,0,1,"Sin disponibilidad",2020
634,"0803","Arroyo Cocóspera","II","RH008","2020-09-21","2020-02-04Z","",43.287,0,2.986,0,0,0,0,0,40.301,40.301,0,1,"Sin disponibilidad",2020
640,"0804","Río Magdalena","II","RH008","2020-09-21","2020-02-04Z","",49.145,40.301,36.957,0,0,26.681,6.106,-0.464,20.166,20.166,0,1,"Sin disponibilidad",2020
650,"0805","Río Concepción","II","RH008","2020-09-21","2020-02-04Z","",37.444,20.166,24.255,0,0,33.355,0,0,0,0,0,1,"Sin disponibilidad",2020
653,"0806","Valle de San Luis","II","RH008","2020-09-21","2020-02-04Z","",11.372,0,0,0,0,11.372,0,0,0,0,0,1,"Sin disponibilidad",2020
656,"0807","Los Vidrios 1","II","RH008","2020-09-21","2020-02-04Z","",7.633,0,0,0,0,7.633,0,0,0,0,0,1,"Sin disponibilidad",2020
660,"0808","Los Vidrios 2","II","RH008","2020-09-21","2020-02-04Z","",2.129,0,0,0,0,2.129,0,0,0,0,0,1,"Sin disponibilidad",2020
662,"0809","Arivaipa - Puerto Libertad","II","RH008","2020-09-21","2020-02-04Z","",30.803,0,0.004,0,0,30.799,0,0,0,0,0,1,"Sin disponibilidad",2020
665,"0901","Río Sonora 1","II","RH009","2020-09-21","2020-02-04Z","",127.614,0,37.298,0,0,0,0,0,90.316,90.317,0,1,"Sin disponibilidad",2020
675,"0902","Río San Miguel","II","RH009","2020-09-21","2020-02-04Z","",33.38,0,5.613,0,0,0,0,0,27.767,27.767,0,1,"Sin disponibilidad",2020
