CVEGEO,Municipio,Pobreza_pct,Pobreza_extrema_pct,Carencia_servicios_pct,Estado,poblacion_total,pct_rural,clasificacion_rural,monto_agua,monto_recaudado_percapita,tomas_pagadas,Clave RHA,RHA,cobertura_agua_conagua_pct,carencia_agua_conagua_pct
07104,Tzimol,80.9738462323,20.9279452727,60.8427086755,Chiapas,16818,44.036151742181,Urbano,144150.0,9.0,565.0,XI,Frontera Sur,92.96,7.040000000000006
07105,Unión Juárez,69.9851956286,17.3646725644,49.8170536985,Chiapas,16056,54.403338315894366,Rural,0.0,0.0,0.0,XI,Frontera Sur,99.15,0.8499999999999943
07106,Venustiano Carranza,85.3168716206,43.9691624244,75.5789697765,Chiapas,68145,38.68955902854208,Urbano,489217.0,7.0,2717.0,XI,Frontera Sur,94.99,5.010000000000005
07107,Villa Corzo,81.7317111046,34.1968004746,62.0844510994,Chiapas,70361,39.85162234760734,Urbano,230050.0,4.0,801.0,XI,Frontera Sur,91.96,8.040000000000006
07108,Villaflores,69.5202401285,20.9692667882,40.6016744664,Chiapas,113514,34.22485332205719,Urbano,7768863.0,71.0,4302.0,XI,Frontera Sur,91.0,9.0
07109,Yajalón,90.4017161042,40.5817384672,80.1481699735,Chiapas,40509,53.27951813177319,Rural,229847.0,6.0,1776.0,XI,Frontera Sur,92.38,7.6200000000000045
07110,San Lucas,87.7745347436,37.6097201767,79.0467264694,Chiapas,7536,33.67834394904459,Urbano,490000.0,65.0,3860.0,XI,Frontera Sur,98.49,1.5100000000000051
07111,Zinacantán,96.8485407619,53.8596791251,66.3081388808,Chiapas,45373,54.719767262468864,Rural,0.0,0.0,0.0,XI,Frontera Sur,73.66,26.340000000000003
07112,San Juan Cancuc,99.2568472144,65.6418113449,99.0319225538,Chiapas,37948,68.90745230315169,Rural,0.0,0.0,0.0,XI,Frontera Sur,72.93,27.069999999999993
07113,Aldama,98.9482448784,58.9763987061,79.8250868576,Chiapas,8494,100.0,Rural,0.0,0.0,0.0,XI,Frontera Sur,93.7,6.299999999999997
07114,Benemérito de las Américas,75.8467797001,23.1461589494,77.2463653962,Chiapas,23704,57.703341208234896,Rural,0.0,0.0,0.0,XI,Frontera Sur,88.51,11.489999999999995
07115,Maravilla Tenejapa,95.3634774094,51.1067981536,85.4175409148,Chiapas,14720,81.62364130434783,Rural,0.0,0.0,0.0,XI,Frontera Sur,83.32,16.680000000000007
07116,Marqués de Comillas,77.1633208536,22.9900172104,86.6213636266,Chiapas,12893,78.52322965950516,Rural,0.0,0.0,0.0,XI,Frontera Sur,76.93,23.069999999999993
07117,Montecristo de Guerrero,92.5314927692,21.0995577865,25.0268913589,Chiapas,8512,62.51174812030074,Rural,0.0,0.0,0.0,XI,Frontera Sur,98.13,1.8700000000000045
07118,San Andrés Duraznal,98.5197598799,61.27997332,84.4588961147,Chiapas,6060,36.15511551155116,Urbano,0.0,0.0,0.0,XI,Frontera Sur,99.34,0.6599999999999966
07119,Santiago el Pinar,97.2926978932,59.9235017386,84.6594395582,Chiapas,4969,100.0,Rural,0.0,0.0,0.0,XI,Frontera Sur,98.97,1.0300000000000011
07120,Capitán Luis Ángel Vidal,92.1086751532,19.3811881188,11.4804337577,Chiapas,4411,100.0,Rural,0.0,0.0,0.0,XI,Frontera Sur,95.78,4.219999999999999
